LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,2009,1611661329,Chicago Sky,34,16,18,0.471,75.7,98.3,102.9,-4.6,92.06,0.527,-3.199862671315491
WNBA,2009,1611661323,Connecticut Sun,34,16,18,0.471,78.0,96.7,96.5,0.2,94.5,0.494,0.0346777567460501
WNBA,2009,1611661321,Detroit Shock,34,18,16,0.529,78.0,97.3,97.2,0.1,93.68,0.511,0.25241176289590317
WNBA,2009,1611661325,Indiana Fever,34,22,12,0.647,75.7,96.5,93.3,3.2,93.05,0.511,2.734556037139096
WNBA,2009,1611661320,Los Angeles Sparks,34,18,16,0.529,74.5,96.8,95.6,1.2,90.59,0.505,0.7117492053277621
WNBA,2009,1611661324,Minnesota Lynx,34,14,20,0.412,80.3,100.3,103.5,-3.2,95.2,0.526,-2.5299788149409026
WNBA,2009,1611661313,New York Liberty,34,13,21,0.382,73.9,95.4,96.2,-0.7,91.62,0.518,-0.47459403013347407
WNBA,2009,1611661317,Phoenix Mercury,34,23,11,0.676,92.3,108.8,104.2,4.7,100.96,0.568,3.2857952383616476
WNBA,2009,1611661318,Sacramento Monarchs,34,12,22,0.353,76.8,98.0,101.2,-3.2,93.25,0.518,-2.108927299769677
WNBA,2009,1611661319,San Antonio Silver Stars,34,15,19,0.441,76.9,99.4,101.2,-1.8,90.82,0.53,-1.2141928300308231
WNBA,2009,1611661328,Seattle Storm,34,20,14,0.588,74.8,97.4,95.0,2.5,89.13,0.524,1.7857992155641582
WNBA,2009,1611661322,Washington Mystics,34,16,18,0.471,76.0,94.7,96.4,-1.7,95.13,0.503,-0.9775524116711352
WNBA,2010,1611661330,Atlanta Dream,34,19,15,0.559,85.4,100.2,97.6,2.7,101.47,0.515,3.196399137442697
WNBA,2010,1611661329,Chicago Sky,34,14,20,0.412,76.1,99.0,100.2,-1.1,91.06,0.523,0.5810150941479582
WNBA,2010,1611661323,Connecticut Sun,34,17,17,0.5,81.0,100.5,98.9,1.7,95.39,0.52,2.277596077494099
WNBA,2010,1611661325,Indiana Fever,34,21,13,0.618,78.3,100.5,94.9,5.7,92.53,0.54,4.888706459574586
WNBA,2010,1611661320,Los Angeles Sparks,34,13,21,0.382,77.9,99.2,103.2,-4.0,94.0,0.535,-3.8666261925287118
WNBA,2010,1611661324,Minnesota Lynx,34,13,21,0.382,78.7,96.4,100.5,-4.1,96.23,0.489,-4.504804286058137
WNBA,2010,1611661313,New York Liberty,34,22,12,0.647,79.2,103.0,98.7,4.3,91.32,0.548,4.098108499787497
WNBA,2010,1611661317,Phoenix Mercury,34,15,19,0.441,93.9,108.4,108.3,0.1,101.7,0.578,-0.8666268487494526
WNBA,2010,1611661319,San Antonio Silver Stars,34,14,20,0.412,76.8,99.7,104.1,-4.4,92.35,0.548,-4.376599185896631
WNBA,2010,1611661328,Seattle Storm,34,28,6,0.824,81.8,105.5,95.5,10.0,91.57,0.549,5.928243459810408
WNBA,2010,1611661321,Tulsa Shock,34,6,28,0.176,78.0,93.2,107.2,-14.0,100.06,0.505,-11.812494995264025
WNBA,2010,1611661322,Washington Mystics,34,22,12,0.647,76.9,100.0,95.8,4.3,91.36,0.541,4.457082780239714
WNBA,2011,1611661330,Atlanta Dream,34,20,14,0.588,82.5,99.4,97.3,2.1,98.5,0.503,1.4716546122264047
WNBA,2011,1611661329,Chicago Sky,34,14,20,0.412,74.2,95.4,96.2,-0.8,92.92,0.521,-0.6336903296866745
WNBA,2011,1611661323,Connecticut Sun,34,21,13,0.618,80.1,99.9,95.6,4.3,94.61,0.509,3.1169128324290925
WNBA,2011,1611661325,Indiana Fever,34,21,13,0.618,77.7,102.0,96.9,5.0,91.09,0.546,3.4952168127259355
WNBA,2011,1611661320,Los Angeles Sparks,34,15,19,0.441,77.1,99.5,103.8,-4.3,91.62,0.539,-3.060450802934221
WNBA,2011,1611661324,Minnesota Lynx,34,27,7,0.794,81.5,105.5,95.4,10.2,92.66,0.533,6.9521449248170795
WNBA,2011,1611661313,New York Liberty,34,19,15,0.559,76.0,98.5,96.9,1.6,91.92,0.511,1.221555950831315
WNBA,2011,1611661317,Phoenix Mercury,34,19,15,0.559,89.0,107.3,103.7,3.5,98.41,0.572,2.823119764875446
WNBA,2011,1611661319,San Antonio Silver Stars,34,18,16,0.529,77.6,98.7,96.1,2.6,93.65,0.521,1.9077859048457275
WNBA,2011,1611661328,Seattle Storm,34,21,13,0.618,71.6,97.2,94.8,2.4,88.43,0.535,1.2541784569224599
WNBA,2011,1611661321,Tulsa Shock,34,3,31,0.088,69.2,89.5,106.2,-16.7,92.41,0.488,-11.668103797069172
WNBA,2011,1611661322,Washington Mystics,34,6,28,0.176,70.8,93.2,103.6,-10.5,90.22,0.491,-6.8803243299833925
